card_name,is_removal,is_mana_producer,produced_colours,dependency_tags,dependency_min_support,dependency_scope,oracle_text
Morcant's Eyes,False,False,,elf,4,tribal,"At the beginning of your upkeep, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)
{4}{G}{G}, Sacrifice this enchantment: Create X 2/2 black and green Elf creature tokens, where X is the number of Elf cards in your graveyard. Activate only as a sorcery."
Morcant's Loyalist,False,False,,elf,5,tribal,"Other Elves you control get +1/+1.
When this creature dies, return another target Elf card from your graveyard to your hand."
Morningtide's Light,False,False,,,,,"Exile any number of target creatures. At the beginning of the next end step, return those cards to the battlefield tapped under their owners' control.
Until your next turn, prevent all damage that would be dealt to you.
Exile Morningtide's Light."
Mornsong Aria,False,False,,,,,"Players can't draw cards or gain life.
At the beginning of each player's draw step, that player loses 3 life, searches their library for a card, puts it into their hand, then shuffles."
Mountain,False,True,R,,,,({T}: Add {R}.)
Mudbutton Cursetosser,True,False,,goblin,3,tribal,"As an additional cost to cast this spell, behold a Goblin or pay {2}. (To behold a Goblin, choose a Goblin you control or reveal a Goblin card from your hand.)
This creature can't block.
When this creature dies, destroy target creature an opponent controls with power 2 or less."
Mutable Explorer,False,False,,,,,"Changeling (This card is every creature type.)
When this creature enters, create a tapped Mutavault token. (It's a land with ""{T}: Add {C}"" and ""{1}: This token becomes a 2/2 creature with all creature types until end of turn. It's still a land."")"
Nameless Inversion,False,False,,,,,"Changeling (This card is every creature type.)
Target creature gets +3/-3 and loses all creature types until end of turn."
Nightmare Sower,False,False,,,,,"Flying, lifelink
Whenever you cast a spell during an opponent's turn, put a -1/-1 counter on up to one target creature."
Noggle Robber,False,True,WUBRG,,,,"When this creature enters or dies, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")"
Noggle the Mind,False,False,,,,,"Flash
Enchant creature
Enchanted creature loses all abilities and is a colorless Noggle with base power and toughness 1/1. (It loses all colors and all other creature types.)"
"Oko, Lorwyn Liege // Oko, Shadowmoor Scion",True,False,,,,,"At the beginning of your first main phase, you may pay {G}. If you do, transform Oko.
+2: Up to one target creature gains all creature types. (This effect doesn't end.)
+1: Target creature gets -2/-0 until your next turn."
Omni-Changeling,False,False,,,,,"Changeling (This card is every creature type.)
Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
You may have this creature enter as a copy of any creature on the battlefield, except it has changeling."
Overgrown Tomb,False,True,BG,,,,"({T}: Add {B} or {G}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped."
Perfect Intimidation,False,False,,,,,"Choose one or both —
• Target opponent exiles two cards from their hand.
• Remove all counters from target creature."
Personify,True,False,,,,,"Exile target creature you control, then return that card to the battlefield under its owner's control. Create a 1/1 colorless Shapeshifter creature token with changeling. (It's every creature type.)"
Pestered Wellguard,False,False,,faerie,4,tribal,"Whenever this creature becomes tapped, create a 1/1 blue and black Faerie creature token with flying."
Pitiless Fists,True,False,,,,,"Enchant creature you control
When this Aura enters, enchanted creature fights up to one target creature an opponent controls. (Each deals damage equal to its power to the other.)
Enchanted creature gets +2/+2."
Plains,False,True,W,,,,({T}: Add {W}.)
Prideful Feastling,False,False,,,,,"Changeling (This card is every creature type.)
Lifelink"
Prismabasher,False,False,,,,,"Trample
Vivid — When this creature enters, up to X target creatures you control get +X/+X until end of turn, where X is the number of colors among permanents you control."
Prismatic Undercurrents,False,False,,,,,"Vivid — When this enchantment enters, search your library for up to X basic land cards, where X is the number of colors among permanents you control. Reveal those cards, put them into your hand, then shuffle.
You may play an additional land on each of your turns."
Protective Response,True,False,,,,,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Destroy target attacking or blocking creature."
Puca's Eye,False,False,,,,,"When this artifact enters, draw a card, then choose a color. This artifact becomes the chosen color.
{3}, {T}: Draw a card. Activate only if there are five colors among permanents you control."
Pummeler for Hire,False,False,,giant,4,tribal,"Vigilance, reach
Ward {2} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.)
When this creature enters, you gain X life, where X is the greatest power among Giants you control."
Pyrrhic Strike,True,False,,,,,"As an additional cost to cast this spell, you may blight 2. (You may put two -1/-1 counters on a creature you control.)
Choose one. If this spell's additional cost was paid, choose both instead.
• Destroy target artifact or enchantment.
• Destroy target creature with mana value 3 or greater."
Raiding Schemes,False,False,,,,,"Each noncreature spell you cast has conspire. (As you cast a noncreature spell, you may tap two untapped creatures you control that share a color with it. When you do, copy it and you may choose new targets for the copy. A copy of a permanent spell becomes a token.)"
Reaping Willow,False,False,,,,,"Lifelink
This creature enters with two -1/-1 counters on it.
{1}{W/B}, Remove two counters from this creature: Return target creature card with mana value 3 or less from your graveyard to the battlefield. Activate only as a sorcery."
Reckless Ransacking,False,True,WUBRG,,,,"Target creature gets +3/+2 until end of turn. Create a Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")"
Reluctant Dounguard,False,False,,,,,"This creature enters with two -1/-1 counters on it.
Whenever another creature you control enters while this creature has a -1/-1 counter on it, remove a -1/-1 counter from this creature."
Requiting Hex,True,False,,,,,"As an additional cost to cast this spell, you may blight 1. (You may put a -1/-1 counter on a creature you control.)
Destroy target creature with mana value 2 or less. If this spell's additional cost was paid, you gain 2 life."
Retched Wretch,False,False,,,,,"When this creature dies, if it had a -1/-1 counter on it, return it to the battlefield under its owner's control and it loses all abilities."
"Rhys, the Evermore",False,False,,,,,"Flash
When Rhys enters, another target creature you control gains persist until end of turn. (When it dies, if it had no -1/-1 counters on it, return it to the battlefield under its owner's control with a -1/-1 counter on it.)
{W}, {T}: Remove any number of counters from target creature you control. Activate only as a sorcery."
Rime Chill,False,False,,,,,"Vivid — This spell costs {1} less to cast for each color among permanents you control.
Tap up to two target creatures. Put a stun counter on each of them. (If a permanent with a stun counter would become untapped, remove one from it instead.)
Draw a card."
Rimefire Torque,False,False,,,,,"As this artifact enters, choose a creature type.
Whenever a permanent you control of the chosen type enters, put a charge counter on this artifact.
{T}, Remove three charge counters from this artifact: When you next cast an instant or sorcery spell this turn, copy it. You may choose new targets for the copy."
Rimekin Recluse,False,False,,,,,"When this creature enters, return up to one other target creature to its owner's hand."
Riverguard's Reflexes,False,False,,,,,Target creature gets +2/+2 and gains first strike until end of turn. Untap it.
Rooftop Percher,False,False,,,,,"Changeling (This card is every creature type.)
Flying
When this creature enters, exile up to two target cards from graveyards. You gain 3 life."
Run Away Together,False,False,,,,,Choose two target creatures controlled by different players. Return those creatures to their owners' hands.
Safewright Cavalry,False,False,,elf,4,tribal,"This creature can't be blocked by more than one creature.
{5}: Target Elf you control gets +2/+2 until end of turn."
"Sanar, Innovative First-Year",False,False,,,,,"Vivid — At the beginning of your first main phase, reveal cards from the top of your library until you reveal X nonland cards, where X is the number of colors among permanents you control. For each of those colors, you may exile a card of that color from among the revealed cards. Then shuffle. You may cast the exiled cards this turn."
Sapling Nursery,False,False,,treefolk,7,tribal,"Affinity for Forests (This spell costs {1} less to cast for each Forest you control.)
Landfall — Whenever a land you control enters, create a 3/4 green Treefolk creature token with reach.
{1}{G}, Exile this enchantment: Treefolk and Forests you control gain indestructible until end of turn."
Scarblade Scout,False,False,,,,,"Lifelink
When this creature enters, mill two cards. (Put the top two cards of your library into your graveyard.)"
Scarblade's Malice,False,False,,elf,4,tribal,"Target creature you control gains deathtouch and lifelink until end of turn. When that creature dies this turn, create a 2/2 black and green Elf creature token."
Scuzzback Scrounger,False,True,WUBRG,,,,"At the beginning of your first main phase, you may blight 1. If you do, create a Treasure token. (To blight 1, put a -1/-1 counter on a creature you control. A Treasure token is an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")"
Sear,True,False,,,,,Sear deals 4 damage to target creature or planeswalker.
Selfless Safewright,False,False,,,,,"Flash
Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
When this creature enters, choose a creature type. Other permanents you control of that type gain hexproof and indestructible until end of turn."
Shadow Urchin,False,False,,,,,"Whenever this creature attacks, blight 1. (Put a -1/-1 counter on a creature you control.)
Whenever a creature you control with one or more counters on it dies, exile that many cards from the top of your library. Until your next end step, you may play those cards."
Shimmercreep,False,False,,,,,"Menace (This creature can't be blocked except by two or more creatures.)
Vivid — When this creature enters, each opponent loses X life and you gain X life, where X is the number of colors among permanents you control."
Shimmerwilds Growth,False,True,WUBRG,,,,"Enchant land
As this Aura enters, choose a color.
Enchanted land is the chosen color.
Whenever enchanted land is tapped for mana, its controller adds an additional one mana of the chosen color."
Shinestriker,False,False,,,,,"Flying
Vivid — When this creature enters, draw cards equal to the number of colors among permanents you control."
Shore Lurker,False,False,,,,,"Flying
When this creature enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)"
Silvergill Mentor,False,False,,merfolk,3,tribal,"As an additional cost to cast this spell, behold a Merfolk or pay {2}. (To behold a Merfolk, choose a Merfolk you control or reveal a Merfolk from your hand.)
When this creature enters, create a 1/1 white and blue Merfolk creature token."
Silvergill Peddler,False,False,,,,,"Whenever this creature becomes tapped, draw a card, then discard a card."
Sizzling Changeling,False,False,,,,,"Changeling (This card is every creature type.)
When this creature dies, exile the top card of your library. Until the end of your next turn, you may play that card."
Slumbering Walker,False,False,,,,,"This creature enters with two -1/-1 counters on it.
At the beginning of your end step, you may remove a counter from this creature. When you do, return target creature card with power 2 or less from your graveyard to the battlefield."
Soul Immolation,False,False,,,,,"As an additional cost to cast this spell, blight X. X can't be greater than the greatest toughness among creatures you control. (Put X -1/-1 counters on a creature you control.)
Soul Immolation deals X damage to each opponent and each creature they control."
Soulbright Seeker,False,True,R,elemental,3,tribal,"As an additional cost to cast this spell, behold an Elemental or pay {2}. (To behold an Elemental, choose an Elemental you control or reveal an Elemental card from your hand.)
{R}: Target creature you control gains trample until end of turn. If this is the third time this ability has resolved this turn, add {R}{R}{R}{R}."
Sourbread Auntie,False,False,,goblin,4,tribal,"When this creature enters, you may blight 2. If you do, create two 1/1 black and red Goblin creature tokens. (To blight 2, put two -1/-1 counters on a creature you control.)"
Spell Snare,False,False,,,,,Counter target spell with mana value 2.
Spinerock Tyrant,False,False,,,,,"Flying
Wither (This deals damage to creatures in the form of -1/-1 counters.)
Whenever you cast an instant or sorcery spell with a single target, you may copy it. If you do, those spells gain wither. You may choose new targets for the copy."
Spiral into Solitude,True,False,,,,,"Enchant creature
Enchanted creature can't attack or block.
{1}{W}, Blight 1, Sacrifice this Aura: Exile enchanted creature. (To blight 1, put a -1/-1 counter on a creature you control.)"
Springleaf Drum,False,True,WUBRG,,,,"{T}, Tap an untapped creature you control: Add one mana of any color."
Spry and Mighty,False,False,,,,,"Choose two creatures you control. You draw X cards and the chosen creatures get +X/+X and gain trample until end of turn, where X is the difference between the chosen creatures' powers."
Squawkroaster,False,False,,,,,"Double strike
Vivid — Squawkroaster's power is equal to the number of colors among permanents you control."
Stalactite Dagger,False,False,,,,,"When this Equipment enters, create a 1/1 colorless Shapeshifter creature token with changeling. (It's every creature type.)
Equipped creature gets +1/+1 and is all creature types.
Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)"
Steam Vents,False,True,UR,,,,"({T}: Add {U} or {R}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped."
Sting-Slinger,False,False,,,,,"{1}{R}, {T}, Blight 1: This creature deals 2 damage to each opponent. (To blight 1, put a -1/-1 counter on a creature you control.)"
Stoic Grove-Guide,False,False,,elf,4,tribal,"{1}{B/G}, Exile this card from your graveyard: Create a 2/2 black and green Elf creature token. Activate only as a sorcery."
Stratosoarer,False,False,,,,,"Flying
When this creature enters, target creature gains flying until end of turn.
Basic landcycling {1}{U} ({1}{U}, Discard this card: Search your library for a basic land card, reveal it, put it into your hand, then shuffle.)"
Summit Sentinel,False,False,,,,,"When this creature dies, draw a card."
Sun-Dappled Celebrant,False,False,,,,,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Vigilance"
Sunderflock,False,False,,elemental,4,tribal,"This spell costs {X} less to cast, where X is the greatest mana value among Elementals you control.
Flying
When this creature enters, if you cast it, return all non-Elemental creatures to their owners' hands."
Surly Farrier,False,False,,,,,{T}: Target creature you control gets +1/+1 and gains vigilance until end of turn. Activate only as a sorcery.
Swamp,False,True,B,,,,({T}: Add {B}.)
Swat Away,False,False,,,,,"This spell costs {2} less to cast if a creature is attacking you.
The owner of target spell or creature puts it on their choice of the top or bottom of their library."
"Sygg, Wanderwine Wisdom // Sygg, Wanderbrine Shield",False,False,,,,,"Sygg can't be blocked.
Whenever this creature enters or transforms into Sygg, Wanderwine Wisdom, target creature gains ""Whenever this creature deals combat damage to a player or planeswalker, draw a card"" until end of turn.
At the beginning of your first main phase, you may pay {W}. If you do, transform Sygg."
Sygg's Command,False,False,,merfolk,4,tribal,"Choose two —
• Create a token that's a copy of target Merfolk you control.
• Creatures target player controls gain lifelink until end of turn.
• Target player draws a card.
• Tap target creature. Put a stun counter on it."
"Tam, Mindful First-Year",False,False,,,,,"Each other creature you control has hexproof from each of its colors.
{T}: Target creature you control becomes all colors until end of turn."
Tanufel Rimespeaker,False,False,,,,,"Whenever you cast a spell with mana value 4 or greater, draw a card."
Taster of Wares,False,False,,goblin,7,tribal,"When this creature enters, target opponent reveals X cards from their hand, where X is the number of Goblins you control. You choose one of those cards. That player exiles it. If an instant or sorcery card is exiled this way, you may cast it for as long as you control this creature, and mana of any type can be spent to cast that spell."
Temple Garden,False,True,WG,,,,"({T}: Add {G} or {W}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped."
Temporal Cleansing,False,False,,,,,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
The owner of target nonland permanent puts it into their library second from the top or on the bottom."
Tend the Sprigs,False,False,,treefolk,3,tribal,"Search your library for a basic land card, put it onto the battlefield tapped, then shuffle. Then if you control seven or more lands and/or Treefolk, create a 3/4 green Treefolk creature token with reach. (It can block creatures with flying.)"
Thirst for Identity,False,False,,,,,Draw three cards. Then discard two cards unless you discard a creature card.
Thoughtweft Charge,False,False,,,,,"Target creature gets +3/+3 until end of turn. If a creature entered the battlefield under your control this turn, draw a card."
Thoughtweft Imbuer,False,False,,kithkin,7,tribal,"Whenever a creature you control attacks alone, it gets +X/+X until end of turn, where X is the number of Kithkin you control."
Thoughtweft Lieutenant,False,False,,kithkin,7,tribal,"Whenever this creature or another Kithkin you control enters, target creature you control gets +1/+1 and gains trample until end of turn."
Timid Shieldbearer,False,False,,,,,{4}{W}: Creatures you control get +1/+1 until end of turn.
Tributary Vaulter,False,False,,merfolk,4,tribal,"Flying
Whenever this creature becomes tapped, another target Merfolk you control gets +2/+0 until end of turn."
"Trystan, Callous Cultivator // Trystan, Penitent Culler",False,False,,elf,3,tribal,"Deathtouch
Whenever this creature enters or transforms into Trystan, Callous Cultivator, mill three cards. Then if there is an Elf card in your graveyard, you gain 2 life.
At the beginning of your first main phase, you may pay {B}. If you do, transform Trystan."
Trystan's Command,True,False,,elf,4,tribal,"Choose two —
• Create a token that's a copy of target Elf you control.
• Return one or two target permanent cards from your graveyard to your hand.
• Destroy target creature or enchantment.
• Creatures target player controls get +3/+3 until end of turn. Untap them."
Tweeze,True,False,,,,,"Tweeze deals 3 damage to any target. You may discard a card. If you do, draw a card."
Twilight Diviner,False,False,,,,,"When this creature enters, surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)
Whenever one or more other creatures you control enter, if they entered or were cast from a graveyard, create a token that's a copy of one of them. This ability triggers only once each turn."
Twinflame Travelers,False,False,,elemental,4,tribal,"Flying
If a triggered ability of another Elemental you control triggers, it triggers an additional time."
Unbury,False,False,,,,,"Choose one —
• Return target creature card from your graveyard to your hand.
• Return two target creature cards that share a creature type from your graveyard to your hand."
Unexpected Assistance,False,False,,,,,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Draw three cards, then discard a card."
Unforgiving Aim,True,False,,elf,4,tribal,"Choose one —
• Destroy target creature with flying.
• Destroy target enchantment.
• Create a 2/2 black and green Elf creature token."
Unwelcome Sprite,False,False,,,,,"Flying
Whenever you cast a spell during an opponent's turn, surveil 2. (Look at the top two cards of your library. You may put any number of them into your graveyard and the rest on top of your library in any order.)"
Vibrance,True,False,,,,,"When this creature enters, if {R}{R} was spent to cast it, this creature deals 3 damage to any target.
When this creature enters, if {G}{G} was spent to cast it, search your library for a land card, reveal it, put it into your hand, then shuffle. You gain 2 life.
Evoke {R/G}{R/G}"
Vinebred Brawler,False,False,,elf,4,tribal,"This creature must be blocked if able.
Whenever this creature attacks, another target Elf you control gets +2/+1 until end of turn."
Virulent Emissary,False,False,,,,,"Deathtouch
Whenever another creature you control enters, you gain 1 life."
Voracious Tome-Skimmer,False,False,,,,,"Flying
Whenever you cast a spell during an opponent's turn, you may pay 1 life. If you do, draw a card."
Wanderbrine Preacher,False,False,,,,,"Whenever this creature becomes tapped, you gain 2 life."
Wanderbrine Trapper,False,False,,,,,"{1}, {T}, Tap another untapped creature you control: Tap target creature an opponent controls."
Wanderwine Distracter,False,False,,,,,"Whenever this creature becomes tapped, target creature an opponent controls gets -3/-0 until end of turn."
Wanderwine Farewell,False,False,,merfolk,7,tribal,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Return one or two target nonland permanents to their owners' hands. Then if you control a Merfolk, create a 1/1 white and blue Merfolk creature token for each permanent returned to its owner's hand this way."
Warren Torchmaster,False,False,,,,,"At the beginning of combat on your turn, you may blight 1. When you do, target creature gains haste until end of turn. (To blight 1, put a -1/-1 counter on a creature you control.)"
Wary Farmer,False,False,,,,,"At the beginning of your end step, if another creature entered the battlefield under your control this turn, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)"
Wild Unraveling,False,False,,,,,"As an additional cost to cast this spell, blight 2 or pay {1}. (To blight 2, put two -1/-1 counters on a creature you control.)
Counter target spell."
Wildvine Pummeler,False,False,,,,,"Vivid — This spell costs {1} less to cast for each color among permanents you control.
Reach, trample"
Winnowing,False,False,,,,,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
For each player, you choose a creature that player controls. Then each player sacrifices all other creatures they control that don't share a creature type with the chosen creature they control."
Wistfulness,False,False,,,,,"When this creature enters, if {G}{G} was spent to cast it, exile target artifact or enchantment an opponent controls.
When this creature enters, if {U}{U} was spent to cast it, draw two cards, then discard a card.
Evoke {G/U}{G/U} (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters.)"
